Tijdstempel,Score,Wat is uw leeftijd in cijfers?,Wat is uw geslacht?,"Wat is het niveau waaraan u momenteel studeert of heeft gestudeerd, indien u al werkt?",Wat is uw vakgebied of studierichting?,"Is uw vakgebied of studierichting direct gerelateerd aan technische onderwerpen zoals ICT, kunstmatige intelligentie en AI-generatoren?",In hoeverre bent u bekend met AI-generatoren?,Hoe vaardig acht u uzelf in het begrijpen van de werking van AI-generatoren?,"Hoe regelmatig gebruikt u zelf AI-generatoren in uw studie of werk? (ChatGPT, DALL-E, Bard)","Waar heeft u AI-generatoren voorheen voor gebruikt, indien van toepassing?",Hoeveel vertrouwen heeft u in uw vermogen om onderscheid te maken tussen door AI gegenereerde en authentieke afbeeldingen?,Vul uw starttijd in,1: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",2: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",3: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",4: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",5: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",6: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",7: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",8: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",9: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",10: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",11: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",12: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",13: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",14: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",15: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",16: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",17: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",18: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",19: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",20: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",21: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",22: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",23: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",24: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",25: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",26: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",27: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",28: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",29: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",30: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",Vul uw eindtijd in:,Heeft u tijdens de survey nieuwe informatie opgedaan over AI-generatoren die u eerder niet kende?,In hoeverre heeft uw deelname aan deze survey invloed gehad op uw vertrouwen in het onderscheiden van  authentieke en door AI gegenereerde afbeeldingen?,Wat vond u van de moeilijkheidsgraad van de afbeeldingen?,Hoeveel foto's denkt u correct te hebben onderscheiden tijdens de survey?
30-11-2023 21:20:47,17 / 30,56,Vrouw,HBO,Toerisme,Nee,3,3,3,Teksten genereren (ChatGPT),2,21:12:00,Echt,,Nep,"Diepte, vreemde lichtval maar kan ook drone foto zijn",Echt,,Nep,Vreemd geplaatste hand Camilla,Echt,,Echt,,Echt,,Nep,Onduidelijk nietzeggend beeld,Echt,,Nep,"Vreemde lichtval, gefotoshopt ",Nep,Vreemde lichtval,Nep,Gefotoshopt ,Nep,Onnatuurlijk beeld,Nep,Lijkt getekend ,Echt,,Echt,,Echt,,Nep,"Gefotoshopt, Putin staat onnatuurlijk ",Nep,Vreemde lijn in foto,Echt,,Echt,,Nep,Getekende beelden,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,Getekende beelden,Echt,,Nep,Gefotoshopt,21:20:00,Ja,2,4,2
30-11-2023 21:23:01,22 / 30,41,Vrouw,HBO,Onderwijs,Nee,3,3,3,Teksten genereren (ChatGPT),3,21:13:00,Echt,,Echt,,Echt,,Nep,Lichtval,Nep,Hand bij naald,Echt,,Echt,,Nep,,Nep,,Nep,,Nep,Abri,Echt,,Nep,,Echt,,Echt,,Nep,Teveel hoofden ,Echt,,Nep,Lichtval,Echt,,Echt,,Echt,,Nep,Mannen achtergrond,Echt,,Nep,Licht,Echt,,Echt,,Echt,,Nep,Zelfde hoofd,Echt,,Echt,,21:22:00,Nee,3,5,5
30-11-2023 21:23:44,18 / 30,36,Vrouw,HBO,Reclame communicatie ,Nee,1,1,1,Niet van toepassing,3,21:20:00,Echt,,Echt,,Nep,,Nep,,Echt,,Echt,,Echt,,Echt,,Nep,,Nep,,Echt,,Nep,,Echt,,Echt,,Nep,,Nep,,Echt,,Nep,,Echt,,Nep,,Nep,,Nep,,Echt,,Echt,,Nep,,Nep,,Nep,,Nep,,Echt,,Nep,,21:23:00,Nee,3,3,4
30-11-2023 21:24:48,18 / 30,57,Vrouw,MBO,.,Nee,1,1,1,Niet van toepassing,3,21:17:00,Nep,Mensen achtergrond rechts,Echt,,Echt,,Nep,Hand in mond,Echt,,Echt,,Nep,Poes,Echt,,Echt,,Nep,Gezicht te getekend,Echt,,Echt,,Echt,,Echt,,Nep,,Echt,,Echt,,Nep,Persoon te getekend,Echt,,Echt,,Echt,,Nep,Personen Te getekend,Echt,,Echt,,Nep,Lijkt of personen in foto geplaatst zijn,Echt,,Echt,,Nep,Spreekt voor zich,Echt,,Nep,Persoon te onecht,21:24:00,Nee,3,3,6
30-11-2023 21:27:33,18 / 30,55,Vrouw,HBO,Schoonheidsspecialiste,Nee,4,1,1,Niet van toepassing,3,21:23:00,Echt,,Echt,,Nep,,Nep,,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,,Nep,,Nep,,Nep,,Nep,,Echt,,Echt,,Nep,,Nep,,Echt,,Echt,,Echt,,Nep,,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,,Echt,,Nep,,21:26:00,Nee,2,4,6
30-11-2023 21:29:52,17 / 30,60,Man,MBO,Video - fotografie,Nee,4,3,3,Teksten genereren (ChatGPT),3,21:00:00,Echt,,Echt,,Nep,De situatie vd foto,Nep,De situatie,Echt,,Echt,,Nep,Handen,Nep,Bord verkeerd om,Echt,,Nep,Gezichten kloppen niet,Echt,,Nep,De situatie,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,,Nep,,Nep,,Echt,,Nep,,Nep,,Echt,,Nep,,Echt,,Echt,,Nep,,Nep,,Nep,,21:10:00,Nee,3,5,5
30-11-2023 21:32:20,24 / 30,38,Vrouw,HBO,Vastgoed,Nee,1,4,1,Niet van toepassing,3,21:20:00,Echt,,Echt,,Nep,Schaduwen zijn niet gelijk,Nep,Vinger is krom ,Nep,Handen kloppen niet,Echt,,Echt,,Echt,,Nep,Gebouwen kloppen niet,Nep,Vervormde gezichten ,Echt,,Echt,,Nep,Rij kloppen niet,Echt,,Echt,,Echt,,Echt,,Nep,Vreemd gezicht ,Echt,,Echt,,Echt,,Nep,Vreemde gezichten ,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,Vreemd gezicht ,Echt,,Nep,Plastic gezicht ,21:31:00,Ja,5,3,4
30-11-2023 21:33:47,17 / 30,55,Man,HBO,Vervoer,Ja,5,5,3,"Afbeeldingen genereren (DALL-E, Midjourney)",3,21:27:00,Echt,,Nep,Beeld genereerd,Nep,Tank is ingeplaatst,Echt,,Nep,Achtergrond,Echt,,Echt,,Nep,Tekst achterste voren,Nep,,Nep,Gezichten,Echt,,Nep,Ander lijf,Echt,,Nep,,Nep,,Echt,,Nep,Achtergrond,Nep,Lichtval,Echt,,Nep,Lantaarn palen,Echt,,Nep,Hoofden,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,Spiegelbeeld poetin in tafel,Echt,,Nep,Hoofd,21:33:00,Nee,4,4,5
30-11-2023 21:37:23,15 / 30,55,Man,HBO,Onderwijs,Nee,2,3,1,Niet van toepassing,3,21:30:00,Nep,Handen,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,,Nep,Handen,Echt,,Nep,Kleuren en vormen komen niet overeen,Echt,,Nep,Geennvoorstander wapens,Echt,,Nep,Kleuren vallen weg,Echt,,Echt,,Nep,Verhoudingen kloppen niet,Echt,,Echt,,Echt,,Echt,,Nep,Haarlijn en is nog niet hebeurd,Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,Verkleuring klopt niet,21:39:00,Nee,3,3,5
30-11-2023 21:37:29,17 / 30,42,Vrouw,HBO,Ok zorg,Nee,2,2,1,Niet van toepassing,2,21:32:00,Echt,,Echt,,Nep,Schaduwen kloppen  niet,Nep,Lippen,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,Rate gezichten,Echt,,Nep,Rare manier van vasthouden,Echt,,Nep,Klopt niet,Echt,,Nep,,Echt,,Nep,Gezichten zijn anders van kleur,Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,21:37:00,Nee,4,4,4
