,score,leeftijd,geslacht,niveau,vakgebied,relatie-vakgebied,bekendheid-AI,vaardigheid-AI,regelmaat-AI,gebruik-AI,vertrouwen-Onderscheid,starttijd,foto-1,toelichting-1,foto-2,toelichting-2,foto-3,toelichting-3,foto-4,toelichting-4,foto-5,toelichting-5,foto-6,toelichting-6,foto-7,toelichting-7,foto-8,toelichting-8,foto-9,toelichting-9,foto-10,toelichting-10,foto-11,toelichting-11,foto-12,toelichting-12,foto-13,toelichting-13,foto-14,toelichting-14,foto-15,toelichting-15,foto-16,toelichting-16,foto-17,toelichting-17,foto-18,toelichting-18,foto-19,toelichting-19,foto-20,toelichting-20,foto-21,toelichting-21,foto-22,toelichting-22,foto-23,toelichting-23,foto-24,toelichting-24,foto-25,toelichting-25,foto-26,toelichting-26,foto-27,toelichting-27,foto-28,toelichting-28,foto-29,toelichting-29,foto-30,toelichting-30,eindtijd,nieuwe-kennis,invloed-survey,moeilijkheid,inschatting,startminuten,eindminuten,tijd
0,57,56,Vrouw,HBO,Toerisme,Nee,3,3,3,Teksten genereren (ChatGPT),2,21:12:00,1,,0,"Diepte, vreemde lichtval maar kan ook drone foto zijn",1,,0,Vreemd geplaatste hand Camilla,1,,1,,1,,0,Onduidelijk nietzeggend beeld,1,,0,"Vreemde lichtval, gefotoshopt ",0,Vreemde lichtval,0,Gefotoshopt ,0,Onnatuurlijk beeld,0,Lijkt getekend ,1,,1,,1,,0,"Gefotoshopt, Putin staat onnatuurlijk ",0,Vreemde lijn in foto,1,,1,,0,Getekende beelden,1,,1,,1,,1,,1,,0,Getekende beelden,1,,0,Gefotoshopt,21:20:00,Ja,2,4,2,1272,1280,8
1,73,41,Vrouw,HBO,Onderwijs,Nee,3,3,3,Teksten genereren (ChatGPT),3,21:13:00,1,,1,,1,,0,Lichtval,0,Hand bij naald,1,,1,,0,,0,,0,,0,Abri,1,,0,,1,,1,,0,Teveel hoofden ,1,,0,Lichtval,1,,1,,1,,0,Mannen achtergrond,1,,0,Licht,1,,1,,1,,0,Zelfde hoofd,1,,1,,21:22:00,Nee,3,5,5,1273,1282,9
2,60,36,Vrouw,HBO,Reclame communicatie ,Nee,1,1,1,Niet van toepassing,3,21:20:00,1,,1,,0,,0,,1,,1,,1,,1,,0,,0,,1,,0,,1,,1,,0,,0,,1,,0,,1,,0,,0,,0,,1,,1,,0,,0,,0,,0,,1,,0,,21:23:00,Nee,3,3,4,1280,1283,3
3,60,57,Vrouw,MBO,.,Nee,1,1,1,Niet van toepassing,3,21:17:00,0,Mensen achtergrond rechts,1,,1,,0,Hand in mond,1,,1,,0,Poes,1,,1,,0,Gezicht te getekend,1,,1,,1,,1,,0,,1,,1,,0,Persoon te getekend,1,,1,,1,,0,Personen Te getekend,1,,1,,0,Lijkt of personen in foto geplaatst zijn,1,,1,,0,Spreekt voor zich,1,,0,Persoon te onecht,21:24:00,Nee,3,3,6,1277,1284,7
4,60,55,Vrouw,HBO,Schoonheidsspecialiste,Nee,4,1,1,Niet van toepassing,3,21:23:00,1,,1,,0,,0,,1,,1,,1,,1,,1,,0,,0,,0,,0,,0,,1,,1,,0,,0,,1,,1,,1,,0,,1,,1,,1,,1,,1,,0,,1,,0,,21:26:00,Nee,2,4,6,1283,1286,3
5,57,60,Man,MBO,Video - fotografie,Nee,4,3,3,Teksten genereren (ChatGPT),3,21:00:00,1,,1,,0,De situatie vd foto,0,De situatie,1,,1,,0,Handen,0,Bord verkeerd om,1,,0,Gezichten kloppen niet,1,,0,De situatie,1,,1,,1,,1,,1,,0,,0,,0,,1,,0,,0,,1,,0,,1,,1,,0,,0,,0,,21:10:00,Nee,3,5,5,1260,1270,10
6,80,38,Vrouw,HBO,Vastgoed,Nee,1,4,1,Niet van toepassing,3,21:20:00,1,,1,,0,Schaduwen zijn niet gelijk,0,Vinger is krom ,0,Handen kloppen niet,1,,1,,1,,0,Gebouwen kloppen niet,0,Vervormde gezichten ,1,,1,,0,Rij kloppen niet,1,,1,,1,,1,,0,Vreemd gezicht ,1,,1,,1,,0,Vreemde gezichten ,1,,1,,1,,1,,1,,0,Vreemd gezicht ,1,,0,Plastic gezicht ,21:31:00,Ja,5,3,4,1280,1291,11
7,57,55,Man,HBO,Vervoer,Ja,5,5,3,"Afbeeldingen genereren (DALL-E, Midjourney)",3,21:27:00,1,,0,Beeld genereerd,0,Tank is ingeplaatst,1,,0,Achtergrond,1,,1,,0,Tekst achterste voren,0,,0,Gezichten,1,,0,Ander lijf,1,,0,,0,,1,,0,Achtergrond,0,Lichtval,1,,0,Lantaarn palen,1,,0,Hoofden,1,,1,,1,,1,,1,,0,Spiegelbeeld poetin in tafel,1,,0,Hoofd,21:33:00,Nee,4,4,5,1287,1293,6
8,50,55,Man,HBO,Onderwijs,Nee,2,3,1,Niet van toepassing,3,21:30:00,0,Handen,1,,1,,1,,1,,1,,0,,0,Handen,1,,0,Kleuren en vormen komen niet overeen,1,,0,Geennvoorstander wapens,1,,0,Kleuren vallen weg,1,,1,,0,Verhoudingen kloppen niet,1,,1,,1,,1,,0,Haarlijn en is nog niet hebeurd,1,,1,,1,,1,,1,,1,,1,,0,Verkleuring klopt niet,21:39:00,Nee,3,3,5,1290,1299,9
9,57,42,Vrouw,HBO,Ok zorg,Nee,2,2,1,Niet van toepassing,2,21:32:00,1,,1,,0,Schaduwen kloppen  niet,0,Lippen,1,,1,,1,,1,,1,,0,Rate gezichten,1,,0,Rare manier van vasthouden,1,,0,Klopt niet,1,,0,,1,,0,Gezichten zijn anders van kleur,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,21:37:00,Nee,4,4,4,1292,1297,5
10,67,66,Vrouw,MBO,Horeca ,Nee,2,1,1,Niet van toepassing,2,21:31:00,0,Het bord,1,,0,De Tank ,0,De Hand ,1,,1,,1,,1,,1,,0,De drie zijn er in gezet ,1,,1,Pistool er in gemonteerd ,1,,1,,1,,1,,1,,0,Poetin is er in geshopt ,1,,1,,1,,0,Gefoto shopt,1,,0,Er is geen schaduw,1,,1,,1,,1,,1,,0,In geschopt ,21:39:00,Nee,4,3,6,1291,1299,8
11,53,55,Vrouw,Middelbare school,Toerisme,Nee,1,3,1,Niet van toepassing,3,21:31:00,0,Veel blanke mensen in de demo ,0,Getekend ,1,,0,"Hoek van de camera, optisch  bedrog",1,,1,,1,,0,Fotoshop,1,,0,Animatie gezicht lijkt niet,1,,0,Wapen,0,Mensenmassa onscherp,1,,1,,0,Mensenmassa is gekopieerd,1,,0,Gezicht poetin,1,,0,Mondmaskers,1,,0,Hebben elkaar nooit ontmoet,1,,1,,1,,0,Zijn nooit bijelkaar geweest,1,,0,Gezichten lijken op elkaar,1,,0,Wapen en persoon ,21:40:00,Nee,3,4,3,1291,1300,9
12,67,44,Vrouw,HBO,Bouwkunde,Nee,3,3,1,Niet van toepassing,3,21:35:00,1,,1,,0,De kinderen,1,,1,,1,,1,,1,,1,,0,Duidelijk zichtbaar dat het bewerkt is,1,,0,,1,,1,,1,,1,,1,,0,,1,,1,,1,,0,,1,,1,,1,,0,,1,,0,,1,,0,,21:40:00,Nee,2,3,6,1295,1300,5
13,67,49,Vrouw,HBO,Operatie assistent,Nee,1,1,1,Niet van toepassing,1,21:30:00,1,,1,,1,,0,Vingers in mond man,1,,1,,1,,1,,1,,0,Gezicht nep,1,,1,,1,,1,,1,,1,,1,,0,Poutin lijkt op stripfiguur,1,,1,,1,,0,Lijken allebei op poppen,1,,1,,1,,1,,1,,0,Zelfde gezicht,1,,0,Poppen gezicht,21:45:00,Nee,3,3,5,1290,1305,15
